Pathology,Model A,Model B,Pair,AUC diff,p_raw,p_corrected,significant,p_bh
Nodule,ResNet50,Ensemble,ResNet50 vs Ensemble,-0.03388825232583037,0.0011428350244613306,0.04894037208668589,True,0.04894037208668589
Nodule,Swin,Ensemble,Swin vs Ensemble,-0.03235939805010957,0.0017478704316673532,0.04894037208668589,True,0.04894037208668589
